pay_category_name,category,sub_category
Public Holiday ,Penalty rate,Public Holiday
Ordinary - Hourly,Base rate,Base rate
Ordinary - Salaried,Base rate,Base rate
Part Time - Week Days,Base rate,Base rate
Part Time - Weekend,Penalty rate,Weekend
Additional Hours,Penalty rate,Penalty rate
Part Time - Public Holiday Worked,Penalty rate,Public Holiday
Overtime Office (1.5x),Penalty rate,Penalty rate
Lump Sum D (Notice Pay),Penalty rate,Penalty rate
Normal (Time Travelled),Allowances,Travel
Kilometre Allowance,Allowances,Allowances
Long Service Leave,Leave,Leave
Unpaid Leave,Leave,Leave
Office Hours,Base rate,Base rate
Adjustment,Base rate,Base rate
Meeting Incentive,Bonuses,Commission
Overtime Direct (1.5x),Penalty rate,Penalty rate
Workers Compensation (RTW),Others,WorkCover
Normal (Vicious),Base rate,Base rate
Ordinary,Base rate,Base rate
Normal Hours,Base rate,Base rate
Leave Loading,Leave,Leave
Director's Fees,Base rate,Base rate
1 Ordinary Hours,Base rate,Base rate
"3 FTPT [WEEKDAY,!PH][2200-2400][][]",Base rate,Base rate
MA000038 Cat 2 (+10%) Ordinary Time,Base rate,Base rate
Ordinary Hr $44.44 - Sun until Midnight,Penalty rate,Sunday
EB Overtime (1.5x),Penalty rate,Penalty rate
Casual - Ordinary Hours,Base rate,Base rate
Public Holiday Worked,Penalty rate,Public Holiday
Leave Without Pay,Leave,Leave
Lump Sum A (LSL),Leave,Leave
Clothing Allowance (PT & CAS),Allowances,Allowances
Direct Overtime,Penalty rate,Penalty rate
Direct Permanent Ordinary Hours ,Base rate,Base rate
LAFHA Post Tax Allowance,Allowances,Allowances
Indirect Casual Ordinary Hours,Base rate,Base rate
Personal / Carers Leave,Leave,Leave
Daily Pay Category,Base rate,Base rate
Maternity Pay,Leave,Leave
Phone Public Holiday,Allowances,Allowances
MA000038 Cat 2 Ordinary Time,Base rate,Base rate
Nurse On Call - Weeknight,Penalty rate,Evening/Night
Indirect Car Allowance,Allowances,Allowances
Overtime Hours (exempt from super)-ADMIN,Penalty rate,Penalty rate
Permanent - Standard,Base rate,Base rate
ETP,Others,Severance
Car Allowance Post Tax,Allowances,Allowances
Phone and Car Space Allowance Pre Tax,Allowances,Allowances
Direct Car Allowance,Allowances,Allowances
Paid Parental Leave,Leave,Leave
Overtime Hours x 2.5,Penalty rate,Penalty rate
Level 2,Base rate,Base rate
Lump Sum D (Notice),Penalty rate,Penalty rate
Referral,Bonuses,Bonus
Nurse On Call/Phone - Public Holiday,Allowances,Allowances
PT Afternoon Shift,Base rate,Base rate
Casual 2 Night,Penalty rate,Evening/Night
Casual Sunday,Penalty rate,Sunday
Don't Use - MA000038 Cat 4 (+10%) Overtime (After 2 Hours),Penalty rate,Penalty rate
Weekday Late Work (12am to 7am),Penalty rate,Penalty rate
Public Holiday - Part-time,Penalty rate,Public Holiday
Permanent - Sunday,Penalty rate,Sunday
Permanent - Sunday Overtime,Penalty rate,Penalty rate
10 pm to Midnight Mon-Fri,Penalty rate,Evening/Night
Sunday Rate 2,Penalty rate,Sunday
Holiday Pay,Penalty rate,Public Holiday
Mon-Fri - OT,Penalty rate,Penalty rate
Nurse On Call - Weekend,Penalty rate,Weekend
Personal Leave,Leave,Leave
Administration - O/H,Base rate,Base rate
Ordinary Hours - Accountants,Base rate,Base rate
Admin - Bonus,Bonuses,Bonus
Ordinary Hours - Office,Base rate,Base rate
Personal / Carer's Leave,Leave,Leave
Training,Base rate,Base rate
Staff Bonuses - SALES,Bonuses,Bonus
MA000038 Cat 2 Night rate,Penalty rate,Evening/Night
Admin Allocated Hours - C & D,Base rate,Base rate
Sales - Commission,Bonuses,Commission
Casual Sun Rate,Penalty rate,Sunday
Casual ordinary hours,Base rate,Base rate
FAC Allowance,Allowances,Allowances
Ordinary Hours - Directors,Base rate,Base rate
Annual Salary,Base rate,Base rate
Support - Bonus,Bonuses,Bonus
Workers Compensation (VIC),Others,WorkCover
O/T Meal Allowance,Allowances,Allowances
Saturday Hourly Pay,Penalty rate,Saturday
Ordinary Hours1,Base rate,Base rate
Ordinary time Earnings - AST,Base rate,Base rate
Casual - Ordinary (Overaward),Base rate,Base rate
Full Time - Standard1,Base rate,Base rate
Part Time1,Base rate,Base rate
Ordinary Hours Partners,Leave,Leave
Casual - Afternoon Shift,Base rate,Base rate
In Lieu,Base rate,Base rate
Redundancy,Others,Severance
Support - Overtime Hours (exempt from super),Penalty rate,Penalty rate
Direct Saturday,Penalty rate,Saturday
Casual - Overtime x 2,Penalty rate,Penalty rate
Overtime x 2,Penalty rate,Penalty rate
Saturday Permanent,Penalty rate,Saturday
Perm Asst M-F (7am-8am),Base rate,Base rate
OT Clearing,Penalty rate,Penalty rate
EARLY,Penalty rate,Penalty rate
Casual 1 Ordinary Hours i/s 7am-7pm,Base rate,Base rate
Unpaid Annual Leave_,Leave,Leave
DO NOT USE Admin Unrecovered Hours C & D,Unclassified,Unclassified
Function Manager $55k pa,Base rate,Base rate
Sales Phone Allowance,Allowances,Allowances
Supervisory Allowance,Allowances,Allowances
Admin and Marketing,Base rate,Base rate
Admin & Bookkeeping,Base rate,Base rate
Salaries Web Design,Base rate,Base rate
(CP) Real Estate Wages,Base rate,Base rate
Part Time,Base rate,Base rate
Captain/FOH Sunday,Penalty rate,Sunday
Chef,Base rate,Base rate
Standard Hours CW4 Experienced Bricklayer,Base rate,Base rate
Standard Hours CW1d Worker ,Base rate,Base rate
Overtime x1.5 ,Penalty rate,Penalty rate
Workers Comp Hours,Others,WorkCover
24WD Shift - PPT LF PP5,Base rate,Base rate
Weekend (Sat/Sun +20%),Penalty rate,Sunday
007 CAUL MST - Revenue Bonus,Bonuses,Bonus
002 SM PST - Weekend hours,Penalty rate,Weekend
005 ESS Admin- Ordinary hours,Base rate,Base rate
Casual Night Shift,Penalty rate,Evening/Night
Non-Chargeable Wages,Base rate,Base rate
007 CAUL PST - Massage Bonus,Bonuses,Bonus
006 GEE Admin- Ordinary Hours,Base rate,Base rate
006 GEE PST - ATP bonus,Bonuses,Bonus
Incentives,Bonuses,Commission
Unused Annual Leave,Leave,Leave
Base Pay,Base rate,Base rate
SALARY,Base rate,Base rate
Standard Hours CW5 Foreman CASUAL,Base rate,Base rate
007 CAUL Admin - Ordinary Hours,Base rate,Base rate
003 BRI PST - Weekend hours,Penalty rate,Weekend
Ordinary Hours 19,Base rate,Base rate
Compassionate Leave Taken,Leave,Leave
Office Manager $60k pa,Base rate,Base rate
Standard Hours App - 3rd Year,Base rate,Base rate
007 CAUL MST - Run Rate Bonus,Bonuses,Bonus
01 RA2010 L1 20 Sat [SAT][ALLDAY][][General],Penalty rate,Saturday
Marketing Casual Rate,Base rate,Base rate
Permanent - Early Morning Shift,Penalty rate,Penalty rate
Permanent - Overtime (Thereafter/Sunday),Penalty rate,Penalty rate
25 PASTRY CHEF GRADE2,Base rate,Base rate
Travel Allowance Apprentice,Allowances,Allowances
00 RA2010 L1 17 M-F [WEEKDAY][ALLDAY][][General],Base rate,Base rate
02 RA2010 L1 20y PH [PH][ALLDAY][][General],Penalty rate,Public Holiday
Broken Shift Allowance,Allowances,Allowances
Temporary Salary Increase,Base rate,Base rate
Salary Packaging Benefit,Base rate,Base rate
Crew Chief Night Shift,Penalty rate,Evening/Night
Travel Allowance CW1d,Allowances,Allowances
Permanent Overtime x 1.5,Penalty rate,Penalty rate
