pay_category_name,category,sub_category
Permanent - Sunday,Penalty rate,Sunday
Compassionate Leave Taken,Leave,Leave
Permanent - Sunday (Shiftworker),Penalty rate,Sunday
Permanent - Less than 10 hour break between shifts,Base rate,Base rate
OT Clearing,Penalty rate,Penalty rate
Boiler Attendant Allowance,Allowances,Allowances
Cold Places Allowance,Allowances,Allowances
Confined Spaces Allowance,Allowances,Allowances
Hot Places Allowance - Over 54 degrees,Allowances,Allowances
Leading Hand Allowance - 11 to 20 employees,Allowances,Allowances
Vehicle Allowance - up to ATO limit,Allowances,Allowances
Casual - Ordinary Hours,Base rate,Base rate
Permanent - Sunday - non-continuous shiftworker,Penalty rate,Sunday
Casual - Public Holiday Overtime - continuous shiftworker,Penalty rate,Penalty rate
Leave Loading,Leave,Leave
Penalty Clearing,Penalty rate,Penalty rate
Permanent - No break,Base rate,Base rate
Annualised Wage Outer Limit - Overtime x2,Penalty rate,Penalty rate
Permanent - Overtime - after 2 hours (Exemption Rate),Penalty rate,Penalty rate
Casual - Overtime - Public  holiday (no minimum break),Penalty rate,Penalty rate
Casual - Weekday Evening (no minimum break),Penalty rate,Evening/Night
Casual Shiftworker - Overtime - Monday to Saturday - First 3 hours,Penalty rate,Penalty rate
Casual Shiftworker - Base (no minimum break),Base rate,Base rate
Permanent - Sunday Overtime,Penalty rate,Penalty rate
Permanent - Overtime - Monday to Saturday - first 3 hrs (no minimum break),Penalty rate,Penalty rate
Weekday Late Work (12am to 7am),Penalty rate,Penalty rate
Permanent - No Break PH`,Base rate,Base rate
Excluded (Type R) Employment Termination Payment,Others,Severance
COVID-19 Not Worked,Penalty rate,Penalty rate
Casual - No break Sunday,Penalty rate,Sunday
Annualised Wage Outer Limit - Public Holiday,Penalty rate,Public Holiday
Permanent - No Meal Break Overtime 2x,Penalty rate,Penalty rate
Permanent - Overtime x 100%,Penalty rate,Penalty rate
Wet Places Allowance (required to work in wet clothing and/or boots),Allowances,Allowances
Fork-lifts and Cranes Allowance,Allowances,Allowances
Electric Generators or Dynamos Allowance - more than 10 kilowatts,Allowances,Allowances
Permanent - Overtime (time and a half),Penalty rate,Penalty rate
Permanent - working through meal break,Base rate,Base rate
Permanent - Public Holiday not Worked,Leave,Leave
Casual - Accident Pay,Others,WorkCover
Saturday (RS&R),Penalty rate,Saturday
Sunday - after 8 hours,Penalty rate,Sunday
Redundancy,Others,Severance
SleepOver,Penalty rate,Penalty rate
Travel ,Allowances,Travel
Permanent - Saturday - meat processing (not retail / wholesale sales) - agreement to work ordinary hours - not shiftworkers,Penalty rate,Saturday
Permanent - Any other public holiday - first 2 hours,Penalty rate,Penalty rate
